BoroCD *,Shape *,FID_STP_NTA_HVI_PGI_REFERENCE,OBJECTID,BoroName,BoroCT2010,PUMA,NTAName,NTACode,Shape_Leng,Borough,ONENYC_HVI,QUINTILES,PGI,PGI_Percent,PGI_High_Low,FID_STP_Neighborhood_Planting_Cycle,BoroCode,BoroName,CommunityBoardWater,CouncilDistrictWater,Zone ID,SUM_Planting_Potential_Cut,Year,Zone_Before,Zone_After,Contract_Area_Percentage,Year_Group,Borough_Year_Group,Phase,Unique,Full_Year,Shape_Length,Shape_Area,Ratio
2865,Polygon,1862,1748,Brooklyn,3021300,4011,Crown Heights South,BK63,7312.5165,3,1.421012,4,0.075709,7.57,High,204,3,Brooklyn,308,35,3,129,9,13999929.58,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK08353_2035_3,2035,2074.538376,15040.39869,7.249997811
864,Polygon,390,354,Brooklyn,3036502,4007,Ocean Hill,BK79,6132.196172,3,4.265287,5,0.106887,10.69,High,193,3,Brooklyn,305,37,12,170,8,11915443.72,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK053712_2034_3,2034,604.665672,15743.55544,26.03679383
3594,Polygon,2269,2128,Queens,4156700,4105,Bellerose,QN43,25786.79949,4,-2.565746,1,0.039643,3.96,Low,394,4,Queens,413,23,17,523,7,18318108.57,<Null>,<Null>,9-Jul,"Queens, Year 7-9",Phase 3,QN132317_2033_3,2033,3302.18987,16123.24433,4.882591541
2470,Polygon,1622,1530,Manhattan,1000202,3809,Lower East Side,MN28,8560.397323,1,-1.996764,1,0.082539,8.25,High,169,3,Brooklyn,302,33,2,199,7,8879411.791,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK02332_2033_3,2033,989.253371,16174.13627,16.34984195
660,Polygon,231,195,Brooklyn,3012902,4005,Park Slope-Gowanus,BK37,5143.838847,3,-1.244543,2,0.042902,4.29,Low,204,3,Brooklyn,308,35,3,129,9,13999929.58,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK08353_2035_3,2035,1193.327006,16410.41559,13.75181782
3135,Polygon,2024,1893,Staten Island,5022600,3901,Charleston-Richmond Valley-Tottenville,SI11,54861.18136,5,-7.402349,1,<Null>,<Null>,<Null>,418,5,Staten Island,503,51,4,1224,1,64639845.74,<Null>,<Null>,3-Jan,"Staten Island, Year 1-3",Phase 1,ST03514_2027_1,2027,4236.055254,16425.47153,3.877539491
3309,Polygon,2127,1992,Brooklyn,3044900,4001,East Williamsburg,BK90,33913.1229,3,4.28323,5,0.054545,5.45,Low,307,4,Queens,405,30,3,579,2,27518449.96,<Null>,<Null>,3-Jan,"Queens, Year 1-3",Phase 1,QN05303_2028_1,2028,2425.330327,16463.65484,6.788211345
3356,Polygon,2158,2020,Bronx,2026701,3701,Van Cortlandt Village,BX28,3657.820137,2,1.250146,4,0.063395,6.34,High,91,2,Bronx,207,11,3,147,5,16250597.25,<Null>,<Null>,6-Apr,"Bronx, Year 4-6",Phase 2,BX07113_2031_2,2031,783.238658,16779.40063,21.42310069
3002,Polygon,1956,1831,Manhattan,1001501,3810,Battery Park City-Lower Manhattan,MN25,9129.191584,1,-0.082107,3,0.042571,4.26,Low,169,3,Brooklyn,302,33,2,199,7,8879411.791,<Null>,<Null>,9-Jul,"Brooklyn, Year 7-9",Phase 3,BK02332_2033_3,2033,727.735932,16821.24047,23.11448388
2550,Polygon,1661,1566,Bronx,2015700,3705,Crotona Park East,BX75,8489.864976,2,4.325968,5,0.093919,9.39,High,113,2,Bronx,209,18,9,149,5,29595189.07,<Null>,<Null>,6-Apr,"Bronx, Year 4-6",Phase 2,BX09189_2031_2,2031,757.633589,17021.17171,22.46623164
